SALES APT AGE ANX EXP GPA
44 10 22.1 4.9 0 2.4
47 19 22.5 3 1 2.6
60 27 23.1 1.5 0 2.8
71 31 24 0.6 3 2.7
61 64 22.6 1.8 2 2
60 81 21.7 3.3 1 2.5
58 42 23.8 3.2 0 2.5
56 67 22 2.1 0 2.3
66 48 22.4 6 1 2.8
61 64 22.6 1.8 1 3.4
51 57 21.1 3.8 0 3
47 10 22.5 4.5 1 2.7
53 48 22.2 4.5 0 2.8
74 96 24.8 0.1 3 3.8
65 75 22.6 0.9 0 3.7
33 12 20.5 4.8 0 2.1
54 47 21.9 2.3 1 1.8
39 20 20.5 3 2 1.5
52 73 20.8 0.3 2 1.9
30 4 20 2.7 0 2.2
58 9 23.3 4.4 1 2.8
59 98 21.3 3.9 1 2.9
52 27 22.9 1.4 2 3.2
56 59 22.3 2.7 1 2.7
49 23 22.6 2.7 1 2.4
63 90 22.4 2.2 2 2.6
61 34 23.8 0.7 1 3.4
39 16 20.6 3.1 1 2.3
62 32 24.4 0.6 3 4
78 94 25 4.6 5 3.6
