Month,Price Index
1996 Jan,44.3
1996 Feb,45.1
1996 Mar,45.2
1996 Apr,45.3
1996 May,45.4
1996 Jun,45
1996 Jul,44.9
1996 Aug,44.9
1996 Sep,44.9
1996 Oct,44.6
1996 Nov,43.8
1996 Dec,43.8
1997 Jan,43.8
1997 Feb,44.7
1997 Mar,44.8
1997 Apr,44.6
1997 May,44.6
1997 Jun,44.5
1997 Jul,44.2
1997 Aug,44.9
1997 Sep,44.8
1997 Oct,44.5
1997 Nov,44
1997 Dec,44.3
1998 Jan,89.6
1998 Feb,91.7
1998 Mar,91.4
1998 Apr,91.2
1998 May,91.6
1998 Jun,91.6
1998 Jul,91.4
1998 Aug,91.6
1998 Sep,90.9
1998 Oct,90.8
1998 Nov,91.2
1998 Dec,90.7
1999 Jan,91.4
1999 Feb,92.4
1999 Mar,92.5
1999 Apr,92.5
1999 May,92.4
1999 Jun,92.7
1999 Jul,93.1
1999 Aug,92.5
1999 Sep,91.5
1999 Oct,90.9
1999 Nov,91.5
1999 Dec,92.4
2000 Jan,93.2
2000 Feb,94.3
2000 Mar,94.9
2000 Apr,94.9
2000 May,96.1
2000 Jun,96.7
2000 Jul,96.5
2000 Aug,96.9
2000 Sep,97.9
2000 Oct,98
2000 Nov,98.7
2000 Dec,98.2
2001 Jan,97.9
2001 Feb,99.4
2001 Mar,99.6
2001 Apr,99.8
2001 May,100.8
2001 Jun,101.3
2001 Jul,100.9
2001 Aug,100.5
2001 Sep,99.9
2001 Oct,100.1
2001 Nov,100.3
2001 Dec,100.2
2002 Jan,100.2
2002 Feb,101.7
2002 Mar,101.8
2002 Apr,100.8
2002 May,100.5
2002 Jun,100.1
2002 Jul,98.6
2002 Aug,99.4
2002 Sep,99
2002 Oct,99
2002 Nov,98.7
2002 Dec,99.9
2003 Jan,99.6
2003 Feb,99.9
2003 Mar,99.2
2003 Apr,99.5
2003 May,98.9
2003 Jun,98.2
2003 Jul,99.2
2003 Aug,99.6
2003 Sep,99.4
2003 Oct,97.5
2003 Nov,97.3
2003 Dec,96.4
2004 Jan,95.7
2004 Feb,95.3
2004 Mar,95.9
2004 Apr,96.3
2004 May,96.5
2004 Jun,95.6
2004 Jul,95.3
2004 Aug,95.4
2004 Sep,95.9
2004 Oct,95.9
2004 Nov,96.1
2004 Dec,95.3
2005 Jan,96.9
2005 Feb,96.8
2005 Mar,99.4
2005 Apr,98.9
2005 May,99.8
2005 Jun,100.2
2005 Jul,101.6
2005 Aug,100.7
2005 Sep,100.4
2005 Oct,101.4
2005 Nov,102.1
2005 Dec,101.9
2006 Jan,100.9
2006 Feb,101.3
2006 Mar,102.6
2006 Apr,101.9
2006 May,99.5
2006 Jun,100
2006 Jul,105.3
2006 Aug,104.1
2006 Sep,105.5
2006 Oct,105.8
2006 Nov,106.8
2006 Dec,105.6
2007 Jan,105.8
2007 Feb,106
2007 Mar,109.1
2007 Apr,108
2007 May,108.2
2007 Jun,108.1
2007 Jul,107
2007 Aug,107.5
2007 Sep,107.3
2007 Oct,106.9
2007 Nov,107.2
2007 Dec,107.6
2008 Jan,109.8
2008 Feb,109.9
2008 Mar,108.7
2008 Apr,109.1
2008 May,109.6
2008 Jun,99.5
2008 Jul,99.2
2008 Aug,100.9
2008 Sep,104.5
2008 Oct,106.3
2008 Nov,110.1
2008 Dec,113.2
2009 Jan,112.3
2009 Feb,111.6
2009 Mar,112.5
2009 Apr,110.8
2009 May,108.5
2009 Jun,104.6
2009 Jul,104.9
2009 Aug,104.7
2009 Sep,106.6
2009 Oct,107.8
2009 Nov,106.1
2009 Dec,111
2010 Jan,111.4
2010 Feb,112
2010 Mar,124.5
2010 Apr,122.4
2010 May,123.5
2010 Jun,121.9
2010 Jul,121.6
2010 Aug,120.5
2010 Sep,121.2
2010 Oct,122.7
2010 Nov,121.3
2010 Dec,121.8
2011 Jan,122.8
2011 Feb,122.3
2011 Mar,120.6
