DATE,SALES,CORRECTED PRICE,TOURISM,RAMADAN,TU/EP PARITY,RAKI/EP PARITY,Cola/EP Parity
1-Jan-88,8606930,765.99,0.05,0,1,7.9365,0.8
1-Feb-88,10207046.0,728.35,0.05,0,1,7.9365,0.8
1-Mar-88,11024108.0,797.2,0.1,0,1,9.3639,0.6776
1-Apr-88,8255791.0,776.79,0.2,13,1,9.1991,0.8333
1-May-88,12947529.0,751.55,0.41,16,1,9.1991,0.8333
1-Jun-88,17659354.0,745.04,0.43,0,1,9.1991,0.8333
1-Jul-88,22004241.0,831.21,0.44,0,1,9.1991,0.7143
1-Aug-88,22307383.0,812.32,0.46,0,1,9.1991,0.7143
1-Sep-88,16806306.0,795.47,0.49,0,1,7.7839,0.7143
1-Oct-88,13785331.0,754.52,0.37,0,1,7.7839,0.7143
1-Nov-88,12881316.0,717.39,0.1,0,1,9.6154,0.7143
1-Dec-88,9863375.0,799.6,0.07,0,1,8.5227,0.625
1-Jan-89,8408225.0,738.27,0.04,0,1,8.5227,0.625
1-Feb-89,9685296.0,705.21,0.05,0,1,8.5227,0.75
1-Mar-89,12580684.0,684.76,0.11,0,1,8.5227,0.75
1-Apr-89,9641244.0,645.38,0.21,24,1,8.5227,1
1-May-89,14372239.0,740.78,0.48,5,1,8.5227,0.8
1-Jun-89,18070426.0,725.79,0.44,0,1,12.987,1
1-Jul-89,24188797.0,753.1,0.45,0,1,10.2041,0.8333
1-Aug-89,27727980.0,727.91,0.49,0,1,10.2041,0.8333
1-Sep-89,22614388.0,689.76,0.5,0,1,10.2041,0.8333
1-Oct-89,18642473.0,648.41,0.37,0,1,10.2041,0.8333
1-Nov-89,20066131.0,623.77,0.08,0,1,12.7551,0.8333
1-Dec-89,11943193.0,710.21,0.06,0,1,10.4055,0.8333
1-Jan-90,11948241.0,730.67,0.05,0,1,10.2041,0.8333
1-Feb-90,12603621.0,700.38,0.06,0,1,11.2245,0.8333
1-Mar-90,14874716.0,666.57,0.11,4,1,11.2245,0.8333
1-Apr-90,10712726.0,767.88,0.3,25,1,8.922,1.0197
1-May-90,20344181.0,759.7,0.49,0,1,8.7302,0.8667
1-Jun-90,27489654.0,749.13,0.54,0,1,8.7302,0.8667
1-Jul-90,30339188.0,755.95,0.6,0,1,8.7302,0.8667
